loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,is_bad
4000,4000, 60 months,0.0729,79.76,A,10.0,MORTGAGE,50000.0,not verified,medical,TX,10.87,0.0,1010.5,0.0,15.0,0.0,12087,12.1,44.0,0
16000,16000, 60 months,0.1825,408.48,F,0.0,RENT,39216.0,not verified,debt_consolidation,KS,9.15,0.0,853.2333333333333,2.0,4.0,0.0,10114,64.0,5.0,0
8700,8700, 36 months,0.0788,272.15,A,4.0,RENT,65000.0,not verified,credit_card,CA,11.24,0.0,66.96666666666667,0.0,4.0,0.0,81,0.6,8.0,0
18000,18000, 60 months,0.1149,395.78,B,10.0,MORTGAGE,57500.0,not verified,debt_consolidation,NY,6.18,1.0,1135.3,0.0,6.0,0.0,10030,37.1,23.0,0
16000,16000, 36 months,0.1183,530.15,B,10.0,MORTGAGE,50004.0,VERIFIED - income,debt_consolidation,OH,19.03,0.0,927.3333333333334,4.0,8.0,0.0,10740,40.4,21.0,0
3000,3000, 60 months,0.1558,72.29,D,4.0,RENT,47028.0,VERIFIED - income,other,DC,7.83,2.0,925.3,1.0,6.0,0.0,1715,26.4,25.0,0
14000,8725, 60 months,0.0751,174.88,A,10.0,MORTGAGE,126000.0,not verified,credit_card,NY,14.28,0.0,1169.8,0.0,18.0,0.0,5466,11.1,29.0,0
3975,3975, 60 months,0.17579999999999998,100.04,D,6.0,MORTGAGE,42000.0,VERIFIED - income source,debt_consolidation,NV,10.29,0.0,848.2,0.0,9.0,0.0,10354,95.9,10.0,0
25000,25000, 36 months,0.1558,873.76,D,2.0,MORTGAGE,50000.0,VERIFIED - income,debt_consolidation,IL,15.36,0.0,911.0333333333333,2.0,11.0,0.0,19662,59.2,27.0,0
10000,10000, 36 months,0.08,313.37,A,0.0,RENT,40000.0,not verified,car,CA,6.48,0.0,981.1333333333333,1.0,11.0,0.0,19998,18.3,23.0,0
10000,10000, 36 months,0.0662,307.04,A,3.0,RENT,74000.0,VERIFIED - income source,credit_card,CA,17.11,0.0,1034.8666666666666,0.0,10.0,0.0,15046,39.9,18.0,0
23000,23000, 36 months,0.12179999999999999,765.9,B,5.0,RENT,112000.0,not verified,debt_consolidation,DC,14.96,0.0,1004.4333333333333,0.0,12.0,0.0,25274,39.5,24.0,0
20000,20000, 36 months,0.08900000000000001,635.07,A,0.0,RENT,148080.0,VERIFIED - income,debt_consolidation,WA,15.88,0.0,969.9333333333333,2.0,12.0,0.0,36546,73.4,27.0,0
6500,3725, 36 months,0.1096,121.89,B,10.0,RENT,44724.0,not verified,wedding,DE,17.41,0.0,963.8333333333334,3.0,3.0,0.0,886,25.3,5.0,0
5000,5000, 36 months,0.0729,155.05,A,1.0,RENT,100000.0,not verified,other,CA,18.66,0.0,927.3333333333334,0.0,13.0,0.0,23484,70.1,37.0,0
25000,25000, 60 months,0.11710000000000001,552.46,B,10.0,MORTGAGE,75000.0,VERIFIED - income,debt_consolidation,IL,13.42,0.0,1009.4666666666667,0.0,5.0,0.0,18591,37.9,19.0,0
