loan_amnt,term,int_rate,grade,annual_inc,verification_status,purpose,inq_last_6mths,revol_util,total_acc,is_bad,loan_amnt_per_installment,income_to_interest_ratio
4000, 60 months,0.0729,A,50000.0,not verified,medical,0.0,12.1,44.0,0,50.150451354062184,12.5
16000, 60 months,0.1825,F,39216.0,not verified,debt_consolidation,2.0,64.0,5.0,0,39.16960438699569,2.451
8700, 36 months,0.0788,A,65000.0,not verified,credit_card,0.0,0.6,8.0,0,31.96766489068529,7.471264367816092
18000, 60 months,0.1149,B,57500.0,not verified,debt_consolidation,0.0,37.1,23.0,0,45.479812016777004,3.1944444444444446
16000, 36 months,0.1183,B,50004.0,VERIFIED - income,debt_consolidation,4.0,40.4,21.0,0,30.180137696878244,3.12525
3000, 60 months,0.1558,D,47028.0,VERIFIED - income,other,1.0,26.4,25.0,0,41.49951583898188,15.676
14000, 60 months,0.0751,A,126000.0,not verified,credit_card,0.0,11.1,29.0,0,80.05489478499543,9.0
3975, 60 months,0.17579999999999998,D,42000.0,VERIFIED - income source,debt_consolidation,0.0,95.9,10.0,0,39.734106357457016,10.566037735849056
25000, 36 months,0.1558,D,50000.0,VERIFIED - income,debt_consolidation,2.0,59.2,27.0,0,28.61197582860282,2.0
10000, 36 months,0.08,A,40000.0,not verified,car,1.0,18.3,23.0,0,31.911159332418546,4.0
10000, 36 months,0.0662,A,74000.0,VERIFIED - income source,credit_card,0.0,39.9,18.0,0,32.56904637832204,7.4
23000, 36 months,0.12179999999999999,B,112000.0,not verified,debt_consolidation,0.0,39.5,24.0,0,30.03003003003003,4.869565217391305
20000, 36 months,0.08900000000000001,A,148080.0,VERIFIED - income,debt_consolidation,2.0,73.4,27.0,0,31.492591367880703,7.404
6500, 36 months,0.1096,B,44724.0,not verified,wedding,3.0,25.3,5.0,0,53.32677003855936,6.880615384615385
5000, 36 months,0.0729,A,100000.0,not verified,other,0.0,70.1,37.0,0,32.24766204450177,20.0
25000, 60 months,0.11710000000000001,B,75000.0,VERIFIED - income,debt_consolidation,0.0,37.9,19.0,0,45.25214495167071,3.0
7350, 36 months,0.0766,A,22000.0,VERIFIED - income source,other,0.0,78.8,9.0,1,32.070861331704336,2.993197278911565
4000, 60 months,0.1335,C,30000.0,VERIFIED - income source,debt_consolidation,0.0,62.1,19.0,0,43.60148245040332,7.5
20000, 36 months,0.1242,B,63000.0,VERIFIED - income,debt_consolidation,1.0,70.3,27.0,0,29.926231838518056,3.15
30000, 36 months,0.1149,B,120000.0,VERIFIED - income source,house,3.0,0.0,36.0,0,30.32937703459571,4.0
12000, 36 months,0.16,D,72000.0,not verified,small_business,6.0,6.1,23.0,1,28.443433122377872,6.0
20000, 36 months,0.1199,B,350000.0,VERIFIED - income,credit_card,0.0,80.4,24.0,0,30.111412225233362,17.5
25000, 60 months,0.16449999999999998,E,56000.0,VERIFIED - income,debt_consolidation,0.0,43.5,19.0,0,60.23660940173,2.24
10000, 36 months,0.1253,B,191000.0,not verified,educational,0.0,2.5,54.0,0,29.880180476290075,19.1
6900, 36 months,0.09880000000000001,B,47480.0,not verified,other,3.0,3.1,24.0,0,31.04472239719248,6.881159420289855
26000, 60 months,0.1825,F,33600.0,VERIFIED - income,major_purchase,1.0,73.8,20.0,0,39.169604386995694,1.2923076923076924
6000, 36 months,0.1059,B,42000.0,not verified,other,1.0,51.6,20.0,0,30.72668612690121,7.0
5400, 36 months,0.0742,A,40000.0,not verified,debt_consolidation,0.0,44.7,26.0,0,32.18500417213017,7.407407407407407
7500, 36 months,0.1545,E,55000.0,not verified,credit_card,8.0,95.2,24.0,0,28.664246130326774,7.333333333333333
8000, 36 months,0.1461,D,120000.0,not verified,other,0.0,0.0,7.0,0,29.00547478336536,15.0
12025, 36 months,0.1349,C,100000.0,VERIFIED - income,debt_consolidation,1.0,79.0,22.0,0,29.47159452967992,8.316008316008316
7200, 60 months,0.138,C,48000.0,VERIFIED - income,debt_consolidation,2.0,36.2,13.0,0,43.16805563882727,6.666666666666667
11600, 60 months,0.1349,C,41000.0,not verified,debt_consolidation,0.0,61.9,12.0,0,43.468485348122606,3.5344827586206895
2800, 36 months,0.07400000000000001,A,8000.0,VERIFIED - income source,car,0.0,20.2,16.0,0,32.19500977348511,2.857142857142857
25000, 60 months,0.1491,D,80000.0,VERIFIED - income,debt_consolidation,0.0,68.1,23.0,0,42.11803157167646,3.2
20000, 36 months,0.1099,B,95000.0,VERIFIED - income,credit_card,0.0,54.3,26.0,0,30.549275982159227,4.75
12500, 36 months,0.1025,B,60000.0,VERIFIED - income,debt_consolidation,0.0,16.7,29.0,0,30.87868382698056,4.8
