loan_amnt,term,int_rate,grade,annual_inc,verification_status,purpose,inq_last_6mths,revol_util,total_acc,is_bad,loan_amnt_per_installment,income_to_interest_ratio,prediction
4000, 60 months,0.0729,A,50000.0,not verified,medical,0.0,12.1,44.0,0,50.150451354062184,12.5,0.09561005015754617
16000, 60 months,0.1825,F,39216.0,not verified,debt_consolidation,2.0,64.0,5.0,0,39.16960438699569,2.451,0.3725876469908725
8700, 36 months,0.0788,A,65000.0,not verified,credit_card,0.0,0.6,8.0,0,31.96766489068529,7.471264367816092,0.03199083552401305
18000, 60 months,0.1149,B,57500.0,not verified,debt_consolidation,0.0,37.1,23.0,0,45.47981201677701,3.1944444444444446,0.14579096895007462
16000, 36 months,0.1183,B,50004.0,VERIFIED - income,debt_consolidation,4.0,40.4,21.0,0,30.180137696878244,3.12525,0.12506442942313378
3000, 60 months,0.1558,D,47028.0,VERIFIED - income,other,1.0,26.4,25.0,0,41.49951583898188,15.676,0.17362637320158622
14000, 60 months,0.0751,A,126000.0,not verified,credit_card,0.0,11.1,29.0,0,80.05489478499543,9.0,0.028093913001064556
3975, 60 months,0.1757999999999999,D,42000.0,VERIFIED - income source,debt_consolidation,0.0,95.9,10.0,0,39.734106357457016,10.566037735849056,0.32594646481492534
25000, 36 months,0.1558,D,50000.0,VERIFIED - income,debt_consolidation,2.0,59.2,27.0,0,28.61197582860282,2.0,0.23040778190808936
10000, 36 months,0.08,A,40000.0,not verified,car,1.0,18.3,23.0,0,31.911159332418546,4.0,0.07148232229584153
10000, 36 months,0.0662,A,74000.0,VERIFIED - income source,credit_card,0.0,39.9,18.0,0,32.56904637832204,7.4,0.027032751520650534
23000, 36 months,0.1217999999999999,B,112000.0,not verified,debt_consolidation,0.0,39.5,24.0,0,30.03003003003003,4.869565217391305,0.08572364798607823
20000, 36 months,0.089,A,148080.0,VERIFIED - income,debt_consolidation,2.0,73.4,27.0,0,31.492591367880703,7.404,0.0837645016643688
6500, 36 months,0.1096,B,44724.0,not verified,wedding,3.0,25.3,5.0,0,53.32677003855936,6.880615384615385,0.05161401620767415
5000, 36 months,0.0729,A,100000.0,not verified,other,0.0,70.1,37.0,0,32.24766204450177,20.0,0.028045824566744204
25000, 60 months,0.1171,B,75000.0,VERIFIED - income,debt_consolidation,0.0,37.9,19.0,0,45.25214495167071,3.0,0.1388264151713361
7350, 36 months,0.0766,A,22000.0,VERIFIED - income source,other,0.0,78.8,9.0,1,32.070861331704336,2.993197278911565,0.1277498593368215
4000, 60 months,0.1335,C,30000.0,VERIFIED - income source,debt_consolidation,0.0,62.1,19.0,0,43.60148245040332,7.5,0.21472548156733418
20000, 36 months,0.1242,B,63000.0,VERIFIED - income,debt_consolidation,1.0,70.3,27.0,0,29.926231838518056,3.15,0.17697802376414243
30000, 36 months,0.1149,B,120000.0,VERIFIED - income source,house,3.0,0.0,36.0,0,30.32937703459571,4.0,0.05113874305269153
12000, 36 months,0.16,D,72000.0,not verified,small_business,6.0,6.1,23.0,1,28.443433122377872,6.0,0.1530727976849535
20000, 36 months,0.1199,B,350000.0,VERIFIED - income,credit_card,0.0,80.4,24.0,0,30.11141222523336,17.5,0.06311799240465518
25000, 60 months,0.1644999999999999,E,56000.0,VERIFIED - income,debt_consolidation,0.0,43.5,19.0,0,60.23660940173,2.24,0.3018299021767539
10000, 36 months,0.1253,B,191000.0,not verified,educational,0.0,2.5,54.0,0,29.880180476290075,19.1,0.03642417296414194
6900, 36 months,0.0988,B,47480.0,not verified,other,3.0,3.1,24.0,0,31.04472239719248,6.881159420289855,0.07701708639548353
26000, 60 months,0.1825,F,33600.0,VERIFIED - income,major_purchase,1.0,73.8,20.0,0,39.169604386995694,1.2923076923076924,0.33578385180777665
6000, 36 months,0.1059,B,42000.0,not verified,other,1.0,51.6,20.0,0,30.72668612690121,7.0,0.12654861415276608
5400, 36 months,0.0742,A,40000.0,not verified,debt_consolidation,0.0,44.7,26.0,0,32.18500417213017,7.407407407407407,0.06932720030417591
7500, 36 months,0.1545,E,55000.0,not verified,credit_card,8.0,95.2,24.0,0,28.664246130326777,7.333333333333333,0.12839589605382618
8000, 36 months,0.1461,D,120000.0,not verified,other,0.0,0.0,7.0,0,29.00547478336536,15.0,0.054852384963938204
12025, 36 months,0.1349,C,100000.0,VERIFIED - income,debt_consolidation,1.0,79.0,22.0,0,29.47159452967992,8.316008316008316,0.09197896210486396
7200, 60 months,0.138,C,48000.0,VERIFIED - income,debt_consolidation,2.0,36.2,13.0,0,43.16805563882727,6.666666666666667,0.18125216968417235
11600, 60 months,0.1349,C,41000.0,not verified,debt_consolidation,0.0,61.9,12.0,0,43.468485348122606,3.5344827586206895,0.23521590908357398
2800, 36 months,0.074,A,8000.0,VERIFIED - income source,car,0.0,20.2,16.0,0,32.19500977348511,2.857142857142857,0.05309989257858392
25000, 60 months,0.1491,D,80000.0,VERIFIED - income,debt_consolidation,0.0,68.1,23.0,0,42.11803157167646,3.2,0.19217664312770003
20000, 36 months,0.1099,B,95000.0,VERIFIED - income,credit_card,0.0,54.3,26.0,0,30.549275982159227,4.75,0.05204006678970258
12500, 36 months,0.1025,B,60000.0,VERIFIED - income,debt_consolidation,0.0,16.7,29.0,0,30.87868382698056,4.8,0.08261620102007487
6000, 36 months,0.1059,B,42000.0,not verified,debt_consolidation,3.0,9.1,22.0,0,30.72668612690121,7.0,0.10243266094230659
7000, 36 months,0.1110999999999999,B,36400.0,not verified,debt_consolidation,1.0,72.8,18.0,0,30.495774157009674,5.2,0.14399164611458878
12000, 36 months,0.1306,C,65400.0,VERIFIED - income source,credit_card,3.0,81.5,36.0,0,29.65305920727488,5.45,0.0869875150065033
13300, 60 months,0.1112,B,58000.0,not verified,debt_consolidation,3.0,58.1,16.0,0,73.71688282895467,4.360902255639098,0.1566115084660727
14000, 60 months,0.1399,C,315600.0,VERIFIED - income source,debt_consolidation,2.0,24.7,10.0,0,42.985661211581565,22.542857142857144,0.10117115581334152
3000, 36 months,0.0579,A,45000.0,not verified,home_improvement,1.0,4.1,19.0,0,32.97065611605671,15.0,0.03708775353092948
6000, 36 months,0.0751,A,55000.0,not verified,debt_consolidation,2.0,20.2,25.0,0,32.14400514304082,9.166666666666666,0.04611258470395256
9000, 36 months,0.0713999999999999,A,141000.0,VERIFIED - income,major_purchase,3.0,45.8,24.0,0,32.318299339270325,15.666666666666666,0.028384980391889962
16675, 60 months,0.1171,B,72000.0,not verified,car,0.0,66.3,43.0,0,45.252245651170995,4.31784107946027,0.06536655162052502
15000, 36 months,0.1392,C,35000.0,VERIFIED - income source,debt_consolidation,3.0,67.4,26.0,0,29.29344217474515,2.3333333333333335,0.23107920838980192
5500, 36 months,0.1273,C,42240.0,not verified,debt_consolidation,1.0,48.9,16.0,0,29.790921893619327,7.68,0.12085068849224478
12000, 36 months,0.0579,A,66000.0,not verified,home_improvement,1.0,8.4,38.0,0,32.9733740004946,5.5,0.03097883373261719
12000, 36 months,0.1171,B,86496.0,VERIFIED - income source,debt_consolidation,0.0,85.0,12.0,0,30.232792502267458,7.208,0.081421470995006
7800, 60 months,0.1,B,52656.0,VERIFIED - income,medical,0.0,0.0,24.0,0,47.06450250407289,6.75076923076923,0.18396063921221809
16000, 60 months,0.2235,F,120000.0,VERIFIED - income source,other,1.0,72.3,49.0,1,35.94697820714446,7.5,0.22325178103363139
1925, 36 months,0.1217999999999999,B,30000.0,not verified,educational,2.0,46.2,15.0,0,30.026516924036812,15.584415584415584,0.11641592453781464
10000, 36 months,0.0542,A,120000.0,not verified,major_purchase,0.0,28.6,31.0,0,33.15649867374005,12.0,0.02102953491339813
6000, 36 months,0.079,A,23040.0,VERIFIED - income source,credit_card,0.0,62.3,11.0,1,31.957390146471372,3.84,0.1312910144044518
