loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,mths_since_last_major_derog,policy_code,is_bad
4000,4000, 60 months,7.29%,79.76,A,A4,Time Warner Cable,10+ years,MORTGAGE,50000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=728956,,medical,Medical,766xx,TX,10.87,0,12/1/92,0,NA,NA,15,0,12087,12.1,44,f,NA,1,0
16000,16000, 60 months,18.25%,408.48,F,F1,Ottawa University,< 1 year,RENT,39216,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=728453,"  Borrower added on 04/14/11 > I will be using this loan to pay off expenses accrued in the last six months on my credit cards, due to a combination of job transition, relocation for the job, and medical expenses from a broken tibula.  I generally overpay my monthly minimum on my debts, so I expect that this loan will be repaid sooner than 5 years.  I have a steady job working in the information technology field, I've been employed full-time in this field for over eight years, and have been with my present employer for seven months in good standing.  My monthly budget breakdown is 1/3 of my paycheck going to rent and bills, 1/3 going to living and job transit expenses, and 1/3 remaining for general spending and payments.<br/>",debt_consolidation,My Debt Consolidation Loan,660xx,KS,9.15,0,11/1/05,2,NA,NA,4,0,10114,64,5,f,NA,1,0
8700,8700, 36 months,7.88%,272.15,A,A5,Kennedy Wilson,4 years,RENT,65000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=559711,,credit_card,AP Personal Loan,916xx,CA,11.24,0,6/1/70,0,NA,NA,4,0,81,0.6,8,f,NA,1,0
18000,18000, 60 months,11.49%,395.78,B,B4,TOWN OF PLATTEKILL,10+ years,MORTGAGE,57500,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=841663,,debt_consolidation,Debt Consolidation Loan,124xx,NY,6.18,1,9/1/82,0,16,NA,6,0,10030,37.1,23,f,NA,1,0
16000,16000, 36 months,11.83%,530.15,B,B3,Belmont Correctional,10+ years,MORTGAGE,50004,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=438878,"I want to consolidate my debt, pay for a vacation and buy a ring.",debt_consolidation,consolidate,439xx,OH,19.03,0,10/1/99,4,NA,NA,8,0,10740,40.4,21,f,NA,1,0
3000,3000, 60 months,15.58%,72.29,D,D3,BAE Systems,4 years,RENT,47028,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=559589,,other,16-Oct-10,200xx,DC,7.83,2,12/1/99,1,19,NA,6,0,1715,26.4,25,f,NA,1,0
14000,8725, 60 months,7.51%,174.88,A,A4,Peninsula Counseling Center,10+ years,MORTGAGE,126000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=517686,"  Borrower added on 05/18/10 > mick credit card consolidation loan - 100% payoff of credit card debt - amex, sears, macys and bank of america<br/>",credit_card,mick credit card loan,103xx,NY,14.28,0,11/1/79,0,NA,NA,18,0,5466,11.1,29,f,NA,1,0
3975,3975, 60 months,17.58%,100.04,D,D4,Health Plan of Nevada,6 years,MORTGAGE,42000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1047143,  Borrower added on 11/29/11 > Loan is for debt consolidation and will be paid timely.  Employed in the healthcare industry for 6 years since moving to NV 7 years ago and have always had stable job positions.  Thank you very much for your assistance.<br>,debt_consolidation,CC loan,891xx,NV,10.29,0,4/1/06,0,NA,NA,9,0,10354,95.9,10,f,NA,1,0
25000,25000, 36 months,15.58%,873.76,D,D3,John Deere,2 years,MORTGAGE,50000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=583218,,debt_consolidation,Consolidation,612xx,IL,15.36,0,2/1/01,2,NA,NA,11,0,19662,59.2,27,f,NA,1,0
10000,10000, 36 months,8.00%,313.37,A,A3,,< 1 year,RENT,40000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=359428,This loan would be for a 2006 PT Cruiser with only 300 miles on it. There is still a full warranty till Dec. 2009 in effect. ,car,FICO score 762 want's to buy a new car,926xx,CA,6.48,0,5/1/95,1,NA,NA,11,0,19998,18.3,23,f,NA,1,0
